epoch,code,cls_0_corr,cls_0_total,cls_1_corr,cls_1_total
1,CODE365,8,19,19,41
1,CODE310,13,26,17,34
1,CODE1525,29,41,18,19
1,CODE1405,4,16,18,44
1,CODE1403,10,14,26,46
1,CODE1138,17,17,30,43
1,CODE1648,29,29,30,31
1,CODE1881,21,26,25,34
1,CODE1644,8,9,29,51
1,CODE1404,10,15,25,45
1,CODE1635,3,3,30,57
1,CODE1461,30,45,15,15
1,CODE1649,2,3,29,57
2,CODE365,9,19,20,41
2,CODE310,11,24,17,36
2,CODE1525,29,41,18,19
2,CODE1405,6,20,16,40
2,CODE1403,14,20,24,40
2,CODE1138,25,26,29,34
2,CODE1648,29,29,30,31
2,CODE1881,21,29,22,31
2,CODE1644,14,18,26,42
2,CODE1404,15,20,25,40
2,CODE1635,11,15,26,45
2,CODE1461,30,46,14,14
2,CODE1649,4,7,27,53
3,CODE365,6,15,21,45
3,CODE310,7,16,21,44
3,CODE1525,28,33,25,27
3,CODE1405,3,7,26,53
3,CODE1403,12,15,27,45
3,CODE1138,19,19,30,41
3,CODE1648,24,24,30,36
3,CODE1881,21,23,28,37
3,CODE1644,12,13,29,47
3,CODE1404,11,14,27,46
3,CODE1635,3,3,30,57
3,CODE1461,27,32,25,28
3,CODE1649,2,3,29,57
4,CODE365,9,20,19,40
4,CODE310,14,28,16,32
4,CODE1525,29,43,16,17
4,CODE1405,7,15,22,45
4,CODE1403,21,31,20,29
4,CODE1138,29,30,29,30
4,CODE1648,29,30,29,30
4,CODE1881,21,28,23,32
4,CODE1644,18,23,25,37
4,CODE1404,16,22,24,38
4,CODE1635,15,23,22,37
4,CODE1461,28,37,21,23
4,CODE1649,13,16,27,44
5,CODE365,9,20,19,40
5,CODE310,16,30,16,30
5,CODE1525,29,39,20,21
5,CODE1405,8,17,21,43
5,CODE1403,21,31,20,29
5,CODE1138,29,29,30,31
5,CODE1648,29,29,30,31
5,CODE1881,21,27,24,33
5,CODE1644,16,21,25,39
5,CODE1404,10,15,25,45
5,CODE1635,8,13,25,47
5,CODE1461,27,34,23,26
5,CODE1649,9,11,28,49
6,CODE365,10,21,19,39
6,CODE310,18,31,17,29
6,CODE1525,28,33,25,27
6,CODE1405,9,12,27,48
6,CODE1403,27,37,20,23
6,CODE1138,28,28,30,32
6,CODE1648,29,31,28,29
6,CODE1881,21,24,27,36
6,CODE1644,17,22,25,38
6,CODE1404,15,20,25,40
6,CODE1635,7,14,23,46
6,CODE1461,28,34,24,26
6,CODE1649,17,19,28,41
7,CODE365,8,12,26,48
7,CODE310,11,19,22,41
7,CODE1525,27,31,26,29
7,CODE1405,7,10,27,50
7,CODE1403,17,25,22,35
7,CODE1138,27,27,30,33
7,CODE1648,23,23,30,37
7,CODE1881,20,22,28,38
7,CODE1644,14,16,28,44
7,CODE1404,10,13,27,47
7,CODE1635,5,7,28,53
7,CODE1461,20,23,27,37
7,CODE1649,9,11,28,49
8,CODE365,9,11,28,49
8,CODE310,9,19,20,41
8,CODE1525,28,32,26,28
8,CODE1405,10,19,21,41
8,CODE1403,22,31,21,29
8,CODE1138,29,29,30,31
8,CODE1648,22,22,30,38
8,CODE1881,13,16,27,44
8,CODE1644,13,17,26,43
8,CODE1404,14,18,26,42
8,CODE1635,6,11,25,49
8,CODE1461,19,22,27,38
8,CODE1649,18,20,28,40
9,CODE365,11,17,24,43
9,CODE310,14,28,16,32
9,CODE1525,28,33,25,27
9,CODE1405,15,16,29,44
9,CODE1403,24,34,20,26
9,CODE1138,27,27,30,33
9,CODE1648,27,27,30,33
9,CODE1881,19,22,27,38
9,CODE1644,19,27,22,33
9,CODE1404,13,17,26,43
9,CODE1635,4,9,25,51
9,CODE1461,21,25,26,35
9,CODE1649,18,21,27,39
10,CODE365,9,14,25,46
10,CODE310,15,29,16,31
10,CODE1525,25,33,22,27
10,CODE1405,17,18,29,42
10,CODE1403,26,34,22,26
10,CODE1138,30,30,30,30
10,CODE1648,28,29,29,31
10,CODE1881,14,17,27,43
10,CODE1644,15,19,26,41
10,CODE1404,9,13,26,47
10,CODE1635,7,12,25,48
10,CODE1461,19,21,28,39
10,CODE1649,20,23,27,37
11,CODE365,9,12,27,48
11,CODE310,14,27,17,33
11,CODE1525,26,30,26,30
11,CODE1405,16,17,29,43
11,CODE1403,21,28,23,32
11,CODE1138,29,29,30,31
11,CODE1648,28,28,30,32
11,CODE1881,12,15,27,45
11,CODE1644,15,19,26,41
11,CODE1404,7,10,27,50
11,CODE1635,5,9,26,51
11,CODE1461,18,21,27,39
11,CODE1649,15,18,27,42
12,CODE365,9,14,25,46
12,CODE310,15,31,14,29
12,CODE1525,29,33,26,27
12,CODE1405,17,18,29,42
12,CODE1403,28,36,22,24
12,CODE1138,30,30,30,30
12,CODE1648,29,30,29,30
12,CODE1881,15,19,26,41
12,CODE1644,18,22,26,38
12,CODE1404,10,14,26,46
12,CODE1635,5,10,25,50
12,CODE1461,19,22,27,38
12,CODE1649,18,21,27,39
13,CODE365,9,14,25,46
13,CODE310,14,28,16,32
13,CODE1525,28,32,26,28
13,CODE1405,17,18,29,42
13,CODE1403,26,33,23,27
13,CODE1138,30,30,30,30
13,CODE1648,29,30,29,30
13,CODE1881,13,17,26,43
13,CODE1644,17,21,26,39
13,CODE1404,8,12,26,48
13,CODE1635,5,10,25,50
13,CODE1461,19,22,27,38
13,CODE1649,17,20,27,40
14,CODE365,9,14,25,46
14,CODE310,15,31,14,29
14,CODE1525,28,34,24,26
14,CODE1405,17,18,29,42
14,CODE1403,28,36,22,24
14,CODE1138,30,30,30,30
14,CODE1648,29,30,29,30
14,CODE1881,16,21,25,39
14,CODE1644,17,22,25,38
14,CODE1404,11,15,26,45
14,CODE1635,5,11,24,49
14,CODE1461,19,22,27,38
14,CODE1649,18,22,26,38
15,CODE365,9,14,25,46
15,CODE310,14,28,16,32
15,CODE1525,25,29,26,31
15,CODE1405,17,18,29,42
15,CODE1403,22,29,23,31
15,CODE1138,29,29,30,31
15,CODE1648,28,29,29,31
15,CODE1881,13,16,27,44
15,CODE1644,16,20,26,40
15,CODE1404,7,11,26,49
15,CODE1635,4,9,25,51
15,CODE1461,20,23,27,37
15,CODE1649,17,21,26,39
16,CODE365,9,12,27,48
16,CODE310,12,25,17,35
16,CODE1525,23,26,27,34
16,CODE1405,16,16,30,44
16,CODE1403,19,26,23,34
16,CODE1138,29,29,30,31
16,CODE1648,28,28,30,32
16,CODE1881,12,15,27,45
16,CODE1644,15,18,27,42
16,CODE1404,5,7,28,53
16,CODE1635,4,8,26,52
16,CODE1461,16,19,27,41
16,CODE1649,16,20,26,40
17,CODE365,9,14,25,46
17,CODE310,13,27,16,33
17,CODE1525,22,26,26,34
17,CODE1405,18,18,30,42
17,CODE1403,19,26,23,34
17,CODE1138,29,29,30,31
17,CODE1648,28,29,29,31
17,CODE1881,12,15,27,45
17,CODE1644,15,18,27,42
17,CODE1404,5,7,28,53
17,CODE1635,4,8,26,52
17,CODE1461,15,17,28,43
17,CODE1649,17,21,26,39
18,CODE365,9,15,24,45
18,CODE310,15,31,14,29
18,CODE1525,28,33,25,27
18,CODE1405,19,20,29,40
18,CODE1403,28,37,21,23
18,CODE1138,29,29,30,31
18,CODE1648,29,30,29,30
18,CODE1881,16,21,25,39
18,CODE1644,18,24,24,36
18,CODE1404,11,15,26,45
18,CODE1635,4,11,23,49
18,CODE1461,20,23,27,37
18,CODE1649,18,22,26,38
19,CODE365,9,15,24,45
19,CODE310,15,31,14,29
19,CODE1525,24,29,25,31
19,CODE1405,20,21,29,39
19,CODE1403,28,36,22,24
19,CODE1138,30,30,30,30
19,CODE1648,29,30,29,30
19,CODE1881,15,19,26,41
19,CODE1644,18,23,25,37
19,CODE1404,11,15,26,45
19,CODE1635,4,10,24,50
19,CODE1461,20,23,27,37
19,CODE1649,18,22,26,38
20,CODE365,9,15,24,45
20,CODE310,15,32,13,28
20,CODE1525,26,32,24,28
20,CODE1405,20,21,29,39
20,CODE1403,28,35,23,25
20,CODE1138,30,30,30,30
20,CODE1648,29,30,29,30
20,CODE1881,15,20,25,40
20,CODE1644,18,23,25,37
20,CODE1404,12,16,26,44
20,CODE1635,4,10,24,50
20,CODE1461,18,21,27,39
20,CODE1649,19,23,26,37
21,CODE365,9,15,24,45
21,CODE310,14,31,13,29
21,CODE1525,24,29,25,31
21,CODE1405,20,21,29,39
21,CODE1403,27,34,23,26
21,CODE1138,30,30,30,30
21,CODE1648,29,30,29,30
21,CODE1881,14,18,26,42
21,CODE1644,17,22,25,38
21,CODE1404,11,15,26,45
21,CODE1635,4,10,24,50
21,CODE1461,18,21,27,39
21,CODE1649,18,22,26,38
22,CODE365,9,15,24,45
22,CODE310,14,30,14,30
22,CODE1525,23,27,26,33
22,CODE1405,20,21,29,39
22,CODE1403,27,34,23,26
22,CODE1138,29,29,30,31
22,CODE1648,29,30,29,30
22,CODE1881,14,18,26,42
22,CODE1644,17,22,25,38
22,CODE1404,11,15,26,45
22,CODE1635,4,10,24,50
22,CODE1461,18,21,27,39
22,CODE1649,18,22,26,38
23,CODE365,9,15,24,45
23,CODE310,14,30,14,30
23,CODE1525,23,27,26,33
23,CODE1405,20,21,29,39
23,CODE1403,27,34,23,26
23,CODE1138,29,29,30,31
23,CODE1648,29,30,29,30
23,CODE1881,14,18,26,42
23,CODE1644,17,22,25,38
23,CODE1404,11,15,26,45
23,CODE1635,4,10,24,50
23,CODE1461,18,21,27,39
23,CODE1649,17,21,26,39
